"sep=,"
wosarticle__ti,wosarticle__py,wosarticle__doc,wosarticle__di,docproject__relevant
Destination net-zero: what does the international energy agency roadmap mean for tourism?,2022,4916232,http://dx.doi.org/10.1080/09669582.2021.1962890,Yes (1)
Assessing the rapidly-emerging landscape of net zero targets,2022,4930932,http://dx.doi.org/10.1080/14693062.2021.2013155,Unrated (0)
Modelling the bioeconomy: Emerging approaches to address policy needs,2022,4933891,http://dx.doi.org/10.1016/j.jclepro.2021.129801,Unrated (0)
Evaluating the contribution of synthetic fungicides to cereal plant health and CO2 reduction targets against the backdrop of the increasingly complex regulatory environment in Europe,2022,4946297,http://dx.doi.org/10.1111/ppa.13494,Unrated (0)
Possibilities of Ammonia as Both Fuel and NOx Reductant in Marine Engines: A Numerical Study,2022,4947789,http://dx.doi.org/10.3390/jmse10010043,Yes (1)
Positive energy districts: Mainstreaming energy transition in urban areas,2022,4950287,http://dx.doi.org/10.1016/j.rser.2021.111782,Unrated (0)
Central bank collateral as a green monetary policy instrument,2022,5196082,http://dx.doi.org/10.1080/14693062.2021.2012112,Unrated (0)
Potential effects of the EU's carbon border adjustment mechanism on the Turkish economy,2022,5196097,http://dx.doi.org/10.1007/s10668-021-01779-1,Yes (1)
INCREASING AMBITION TO REDUCE THE CARBON TRACE OF MULTIMODAL TRANSPORTATION IN THE CONDITIONS OF UKRAINE'S ECONOMY TRANSFORMATION TOWARDS CLIMATE NEUTRALITY,2022,5196509,http://dx.doi.org/10.15407/scine18.01.096,Yes (1)
Rethinking carbon-neutral built environment: Urban dynamics and scenario analysis,2022,5205985,http://dx.doi.org/10.1016/j.enbuild.2021.111672,Yes (1)
A strong mitigation scenario maintains climate neutrality of northern peatlands,2022,5212930,http://dx.doi.org/10.1016/j.oneear.2021.12.008,Yes (1)
Interacting climate change effects on mussels (Mytilus edulis and M. galloprovincialis) and oysters (Crassostrea gigas and Ostrea edulis): experiments for bivalve individual growth models,2022,5213250,http://dx.doi.org/10.1051/alr/2022001,No (2)
Mediterranean forest policy beyond the Paris Climate Agreement,2022,5218570,http://dx.doi.org/10.1016/j.landusepol.2021.105797,Unrated (0)
Land-based climate change mitigation measures can affect agricultural markets and food security,2022,5220098,http://dx.doi.org/10.1038/s43016-022-00464-4,Yes (1)
Estimating the impact of energy efficiency on housing prices in Germany: Does regional disparity matter?,2022,5220811,http://dx.doi.org/10.1016/j.eneco.2021.105750,Mixed (3)
Enhanced Atmospheric Water Harvesting with Sunlight-Activated Sorption Ratcheting,2022,5224781,http://dx.doi.org/10.1021/acsami.1c18852,Yes (1)
Spatio-Temporal Assessment of Biomass Self-Sufficiency in the European Union,2022,5228166,http://dx.doi.org/10.3390/su14031897,Yes (1)
"Climate change in the Western Balkans and EU Green Deal: status, mitigation and challenges",2022,5228439,http://dx.doi.org/10.1186/s13705-021-00328-y,Yes (1)
A Comprehensive Workflow for High Resolution 3D Solar Photovoltaic Potential Mapping in Dense Urban Environment: A Case Study on Campus of Delft University of Technology,2022,5229551,http://dx.doi.org/10.1002/solr.202100478,Yes (1)
Potential of Forest Biomass Resources for Renewable Energy Production in the Czech Republic,2022,5230823,http://dx.doi.org/10.3390/en15010047,Unrated (0)
Quantification of the carbon intensity of electricity produced and used in Europe,2022,5231782,http://dx.doi.org/10.1016/j.apenergy.2021.117901,Yes (1)
Roadmap to climate-neutral steel construction,2022,5234089,http://dx.doi.org/10.1002/stab.202200016,Unrated (0)
A simple fix for carbon leakage? Assessing the environmental effectiveness of the EU carbon border adjustment,2022,5234119,http://dx.doi.org/10.1016/j.enpol.2021.112596,Unrated (0)
Inter-Municipal Methodology for Climate Transition Strategies: The First Case in Italy,2022,5236256,http://dx.doi.org/10.3390/su14052529,Yes (1)
Prospective life cycle assessment of hydrogen production by waste photoreforming,2022,5238817,http://dx.doi.org/10.1016/j.jclepro.2022.130430,Unrated (0)
Self-Assessment Framework for Corporate Environmental Sustainability in the Era of Digitalization,2022,5242500,http://dx.doi.org/10.3390/su14042293,Mixed (3)
The Impact of the European Green Deal on EU Environmental Policy,2022,5242520,http://dx.doi.org/10.1177/10704965221082222,Yes (1)
Assessment of Power System Sustainability and Compromises between the Development Goals,2022,5245148,http://dx.doi.org/10.3390/su14042236,Unrated (0)
My Fault or Default-Household Behaviors Living in a Climate-Smart Building,2022,5246866,http://dx.doi.org/10.3390/buildings12020245,Yes (1)
Hydrogen sourcing strategies and cross-sectoral flexibility trade-offs in net-neutral energy scenarios for Europe,2022,5248863,http://dx.doi.org/10.1016/j.energy.2021.121598,Yes (1)
Renewable carbon opportunities in the production of succinic acid applying attributional and consequential modelling,2022,5248902,http://dx.doi.org/10.1016/j.cej.2021.132011,Yes (1)
Climate Protection and Sustainable Mobility through Green Hydrogen,2022,5248911,http://dx.doi.org/10.1002/cite.202100156,Yes (1)
The Analysis of Public Funds Utilization Efficiency for Climate Neutrality in the European Union Countries,2022,5249891,http://dx.doi.org/10.3390/en15020581,Yes (1)
A new approach for coupling the short- and long-term planning models to design a pathway to carbon neutrality in a coal-based power system,2022,5282708,http://dx.doi.org/10.1016/j.energy.2021.122438,Yes (1)
Techno-economic assessment of the FReSMe technology for CO2 emissions mitigation and methanol production from steel plants,2022,5293044,http://dx.doi.org/10.1016/j.jcou.2021.101852,Yes (1)
Renewable natural gas as climate-neutral energy carrier?,2022,5293154,http://dx.doi.org/10.1016/j.fuel.2021.122547,Yes (1)
Transitioning to energy efficient housing: Drivers and barriers of intermediaries in heat pump technology,2022,5313256,http://dx.doi.org/10.1016/j.enpol.2021.112709,Yes (1)
MATRYCS-A Big Data Architecture for Advanced Services in the Building Domain,2022,5316749,http://dx.doi.org/10.3390/en15072568,Yes (1)
Green manufacturers' power strategy in the smart grid era,2022,5317634,http://dx.doi.org/10.1016/j.cie.2021.107836,Yes (1)
Comprehensive evaluation of the planned development of intermittent renewable sources within the EU,2022,5318101,http://dx.doi.org/10.1016/j.egyr.2022.01.093,Unrated (0)
State-of-the-art sustainable approaches for deeper decarbonization in Europe-An endowment to climate neutral vision,2022,5318148,http://dx.doi.org/10.1016/j.rser.2022.112204,Yes (1)
On wholesale electricity prices and market values in a carbon-neutral energy system,2022,5318454,http://dx.doi.org/10.1016/j.eneco.2021.105709,Yes (1)
STUDY ON POTENTIAL ROLE AND BENEFITS OF LIQUIFIED NATURAL GAS IMPORT TERMINAL IN LATVIA,2022,5318563,http://dx.doi.org/10.2478/lpts-2022-0010,Yes (1)
<p>Towards a climate-neutral energy system in the Netherlands</p>,2022,5318893,http://dx.doi.org/10.1016/j.rser.2022.112097,Unrated (0)
GOBLIN version 1.0: a land balance model to identify national agriculture and land use pathways to climate neutrality via backcasting,2022,5339416,http://dx.doi.org/10.5194/gmd-15-2239-2022,Yes (1)
A Multicriteria Methodology to Evaluate Climate Neutrality Claims-A Case Study with Spanish Firms,2022,5339421,http://dx.doi.org/10.3390/su14074310,Unrated (0)
"""Keeping it up"" is out of the question - steel construction -production must become climate-neutral",2022,5339424,http://dx.doi.org/10.1002/stab.202200012,Unrated (0)
Energy Community in Action-Energy Citizenship Contract as Tool for Climate Neutrality,2022,5339425,http://dx.doi.org/10.3390/smartcities5010018,Yes (1)
"Data Fusion in Earth Observation and the Role of Citizen as a Sensor: A Scoping Review of Applications, Methods and Future Trends",2022,5339426,http://dx.doi.org/10.3390/rs14051263,Yes (1)
"Greenhouse gas emissions from global cities under SSP/RCP scenarios, 1990 to 2100",2022,5339428,http://dx.doi.org/10.1016/j.gloenvcha.2022.102478,Unrated (0)
Digital Performance in EU Member States in the Context of the Transition to a Climate Neutral Economy,2022,5339429,http://dx.doi.org/10.3390/su14063343,Unrated (0)
Climate Neutrality Concepts for the German Chemical-Pharmaceutical Industry,2022,5339432,http://dx.doi.org/10.3390/pr10030467,Unrated (0)
A Fuzzy Mathematical Model to Estimate the Energy Cost for Heat Pump System,2022,5339435,http://dx.doi.org/10.1007/978-3-030-93817-8_70,Yes (1)
The Butterfly Framework for the Assessment of Transitions towards a Circular and Climate Neutral Society,2022,5339436,http://dx.doi.org/10.3390/su14031516,Unrated (0)
Status for the good guys: An experiment on charitable giving,2022,5339437,http://dx.doi.org/10.1111/ecin.13039,Unrated (0)
Achieving Net Zero Emissions in Italy by 2050: Challenges and Opportunities,2022,5339441,http://dx.doi.org/10.3390/en15010046,Unrated (0)
A Comprehensive PED-Database for Mapping and Comparing Positive Energy Districts Experiences at European Level,2022,5339444,http://dx.doi.org/10.3390/su14010427,Unrated (0)
Policy Modelling for Ambitious Energy Efficiency Investment in the EU Residential Buildings,2022,5339447,http://dx.doi.org/10.3390/en15062233,Unrated (0)
Better suited or just more complex? On the fit between user needs and modeller-driven improvements of energy system models,2022,5339449,http://dx.doi.org/10.1016/j.energy.2021.121909,Unrated (0)
Advancements in net-zero pertinency of lignocellulosic biomass for climate neutral energy production,2022,5339450,http://dx.doi.org/10.1016/j.rser.2022.112393,Unrated (0)
The Development of a BIM-Based Interoperable Toolkit for Efficient Renovation in Buildings: From BIM to Digital Twin,2022,5339456,http://dx.doi.org/10.3390/buildings12020231,Unrated (0)
Carbon-neutral cities: Critical review of theory and practice,2022,5339459,http://dx.doi.org/10.1016/j.jclepro.2022.130912,Unrated (0)
Overview of EU and Global Conditions for the Transformation of the TCLF Industry on the Way to a Circular and Digital Economy (Case Studies from Poland),2022,5339462,http://dx.doi.org/10.18778/1508-2008.25.05,Unrated (0)
China's low-emission pathways toward climate-neutral livestock production for animal-derived foods,2022,5339464,http://dx.doi.org/10.1016/j.xinn.2022.100220,Unrated (0)
"Modellfabrik Papier ""The Vision of climate-neutral Paper Production""",2022,5339465,,Unrated (0)
Prioritizing Climate Neutrality during Brownfield Replacement,2022,5339478,,Unrated (0)
Durability of Construction and Demolition Waste-Bearing Ternary Eco-Cements,2022,5339485,http://dx.doi.org/10.3390/ma15082921,Unrated (0)
Country-specific cost projections for renewable hydrogen production through off-grid electricity systems,2022,5339487,http://dx.doi.org/10.1016/j.apenergy.2021.118398,Unrated (0)
How to Meet the Green Deal Objectives-Is It Possible to Obtain 100% RES at the Regional Level in the EU?,2022,5339488,http://dx.doi.org/10.3390/en15062296,Unrated (0)
Justice in social housing: Towards a people-centred energy renovation process,2022,5339495,http://dx.doi.org/10.1016/j.erss.2022.102527,Unrated (0)
Modelling climate neutrality for the European Green Deal,2022,5339496,http://dx.doi.org/10.1016/j.energy.2021.122249,Unrated (0)
Data-Driven Air-Fuel Path Control Design for Robust RCCI Engine Operation,2022,5339499,http://dx.doi.org/10.3390/en15062018,Unrated (0)
Strategies of European Energy Producers: Directions of Evolution,2022,5339502,http://dx.doi.org/10.3390/en15020609,Yes (1)
Could quality of governance influence pollution? Evidence from the revised Environmental Kuznets Curve in Central and Eastern European countries,2022,5339505,http://dx.doi.org/10.1016/j.egyr.2021.12.031,Unrated (0)
The Road to Achieving the European Commission's Chemicals Strategy for Nanomaterial Sustainability-A PATROLS Perspective on New Approach Methodologies,2022,5339506,http://dx.doi.org/10.1002/smll.202200231,Unrated (0)
Sustainable design of Cornell University campus energy systems toward climate neutrality and 100% renewables,2022,5339507,http://dx.doi.org/10.1016/j.rser.2022.112383,Unrated (0)
Subsea superconductors: The future of offshore renewable energy transmission?,2022,5339510,http://dx.doi.org/10.1016/j.rser.2021.111943,Unrated (0)
The Future of Climate-Resilient and Climate-Neutral City in the Temperate Climate Zone,2022,5339512,http://dx.doi.org/10.3390/ijerph19074365,Mixed (3)
Making the cement industry climate-neutral via carbon capture and utilisation (CCU),2022,5339516,,Unrated (0)
Effect of Battery-Electric and Plug-In Hybrid Electric Vehicles on PM2.5 Emissions in 29 European Countries,2022,5339518,http://dx.doi.org/10.3390/su14042188,Unrated (0)
The Effect of Ash Silanization on the Selected Properties of Rigid Polyurethane Foam/Coal Fly Ash Composites,2022,5339524,http://dx.doi.org/10.3390/en15062014,Unrated (0)
Reinforced model predictive control (RL-MPC) for building energy management,2022,5339529,http://dx.doi.org/10.1016/j.apenergy.2021.118346,Unrated (0)
"Mechanical Performance of Portland Cement, Coarse Silica Fume, and Limestone (PC-SF-LS) Ternary Portland Cements",2022,5339530,http://dx.doi.org/10.3390/ma15082933,Unrated (0)
<p>Land-use change and valorisation of feedstock side-streams determine the climate mitigation potential of bioplastics</p>,2022,5339531,http://dx.doi.org/10.1016/j.resconrec.2022.106185,Unrated (0)
"Green means lean - the Way to a ""Climate-neutral Concrete Construction Site"" Sustainable Building with Concrete also means Lean Construction",2022,5339533,http://dx.doi.org/10.1002/best.202200034,Unrated (0)
Analysis of the level of energy security in the three seas initiative countries,2022,5339537,http://dx.doi.org/10.1016/j.apenergy.2022.118649,Yes (1)
"Biogas and Biomethane Production and Usage: Technology Development, Advantages and Challenges in Europe",2022,5339540,http://dx.doi.org/10.3390/en15082940,Unrated (0)
<p>Potential GHG emission benefits of Asparagopsis taxiformis feed supplement in Australian beef cattle feedlots</p>,2022,5339548,http://dx.doi.org/10.1016/j.jclepro.2022.130499,Yes (1)
Fair mobility budgets: A concept for achieving climate neutrality and transport equity,2022,5339550,http://dx.doi.org/10.1016/j.trd.2021.103165,Yes (1)
Going Conservative or Conventional? Investigating Farm Management Strategies in between Economic and Environmental Sustainability in Southern Italy,2022,5339552,http://dx.doi.org/10.3390/agronomy12030597,Yes (1)
Reconciling the micro- and macro-perspective in agricultural energy efficiency analysis for sustainable development,2022,5339553,http://dx.doi.org/10.1002/sd.2235,Yes (1)
Energy System Development Scenarios: Case of Poland,2022,5339555,http://dx.doi.org/10.3390/en15082962,Yes (1)
Potential of Energy Savings in the Public Housing Stock of Comunitat Valenciana Region by Applying the MedZEB Cost-Optimal Methodology,2022,5339556,http://dx.doi.org/10.3390/app12010138,Yes (1)
Developing policy packages for low-carbon passenger transport: A mixed methods analysis of trade-offs and synergies,2022,5339557,http://dx.doi.org/10.1016/j.ecolecon.2021.107304,Yes (1)
The Paradox of the New Great Game: Do Europe and China Need More Pipelines from Eurasia?,2022,5339560,http://dx.doi.org/10.1080/19448953.2021.1992192,Yes (1)
From the German Medical Association 125th Doctors Congress for Climate Neutrality of the Health Care System by 2030,2022,5339562,,Mixed (3)
A Roadmap for Transforming Research to Invent the Batteries of the Future Designed within the European Large Scale Research Initiative BATTERY 2030+,2022,5339563,http://dx.doi.org/10.1002/aenm.202102785,Yes (1)
European Forest Governance: Status Quo and Optimising Options with Regard to the Paris Climate Target,2022,5339564,http://dx.doi.org/10.3390/su14074365,Yes (1)
THE GREENING OF THE ECONOMIC AND MONETARY UNION,2022,5339565,,Yes (1)
The Boundaries of Scientific Innovation in the EU Green Deal Context,2022,5339568,http://dx.doi.org/10.2478/rtucct-2022-0010,Yes (1)
Safe- and sustainable-by-design: The case of Smart Nanomaterials. A perspective based on a European workshop,2022,5339573,http://dx.doi.org/10.1016/j.yrtph.2021.105093,Yes (1)
Advanced Carbon Reinforced Concrete Technologies for Facade Elements of Nearly Zero-Energy Buildings,2022,5339574,http://dx.doi.org/10.3390/ma15041619,Yes (1)
Seaweed's Role in Energetic Transition-From Environmental Pollution Challenges to Enhanced Electrochemical Devices,2022,5339575,http://dx.doi.org/10.3390/biology11030458,Yes (1)
Plastic pollution pathways from marine aquaculture practices and potential solutions for the North-East Atlantic region,2022,5339579,http://dx.doi.org/10.1016/j.marpolbul.2021.113178,Mixed (3)
"SC Freiburg: World's largest Photovoltaic System on a Stadium Roof with Meyer Burger Solar Modules More than 6,000 High-performance Modules from German Production cover the Annual Demand for Electricity in a climate-neutral way with 2.3 Million Kilowatt Hours",2022,5339580,http://dx.doi.org/10.1002/vipr.202270202,Mixed (3)
Mining Waste as a Potential Additional Source of HREE and U for the European Green Deal: A Case Study of Bangka Island (Indonesia),2022,5339581,http://dx.doi.org/10.3390/min12010044,Yes (1)
The Implementation of the European Green Deal Strategy as a Challenge for Energy Management in the Face of the COVID-19 Pandemic,2022,5339583,http://dx.doi.org/10.3390/en15072662,Yes (1)
"LEGAL REGULATION OF 'RESPONSIBLE' INVESTING IN RUSSIA AND FOREIGN COUNTRIES: CONCEPT, PRINCIPLES, EXAMPLES",2022,5339584,http://dx.doi.org/10.17072/1995-4190-2022-55-86-106,Mixed (3)
THE TRANSFORMATION OF THE ENERGY SECTOR IN THE CONTEXT OF THE EUROPEAN GREEN DEAL: THE STRATEGIES OF THE EUROPEAN COMMISSION FOR THE FIT FOR 55 AND TO ACHIEVE THE CLIMATE NEUTRALITY,2022,5339595,,Yes (1)
A NEW METHOD FOR ANALYSING FINANCIAL DAMAGES CAUSED BY GRID FAULTS ON INDIVIDUAL CUSTOMERS,2022,5339601,http://dx.doi.org/10.1016/j.epsr.2022.107839,No (2)
"Catalysis for e-Chemistry: Need and Gaps for a Future De-Fossilized Chemical Production, with Focus on the Role of Complex (Direct) Syntheses by Electrocatalysis",2022,5339604,http://dx.doi.org/10.1021/acscatal.2c00099,Yes (1)
Transforming catalysis to produce e-fuels: Prospects and gaps,2022,5339618,http://dx.doi.org/10.1016/S1872-2067(21)64016,Yes (1)
MyPyPSA-Ger: Introducing CO2 taxes on a multi-regional myopic roadmap of the German electricity system towards achieving the 1.5 degrees C target by 2050,2022,5339626,http://dx.doi.org/10.1016/j.apenergy.2022.118576,Yes (1)
Visions of cities beyond the Green Deal: From imagination to reality,2022,5339627,,Yes (1)
"The circular economy in China: Achievements, challenges and potential implications for decarbonisation",2022,5339628,http://dx.doi.org/10.1016/j.resconrec.2022.106350,Yes (1)
Can energy sector reach carbon neutrality with biomass limitations?,2022,5339629,http://dx.doi.org/10.1016/j.energy.2022.123797,Yes (1)
Barriers and Driving Factors for Sustainable Development of CO2 Valorisation,2022,5339630,http://dx.doi.org/10.3390/su14095054,Yes (1)
Roadmap to Neutrality—What Foundational Questions Need Answering to Determine One’s Ideal Decarbonisation Strategy,2022,5339631,http://dx.doi.org/10.3390/en15093126,Unrated (0)
Born to transform? German bioeconomy policy and research projects for transformations towards sustainability,2022,5339632,http://dx.doi.org/10.1016/j.ecolecon.2022.107366,Mixed (3)
Analyzing the Macro-Economic and Employment Implications of Ambitious Mitigation Pathways and Carbon Pricing,2022,5339633,http://dx.doi.org/10.3389/fclim.2022.785136,Yes (1)
Material Diets for Climate-Neutral Construction,2022,5339634,http://dx.doi.org/10.1021/acs.est.1c05895,Yes (1)
Societal local and regional resiliency spurred by contextualized climate services: The role of culture in co-production,2022,5339635,http://dx.doi.org/10.1016/j.cliser.2022.100300,Unrated (0)
Risk-adjusted preferences of utility companies and institutional investors for battery storage and green hydrogen investment,2022,5339636,http://dx.doi.org/10.1016/j.enpol.2022.112821,Yes (1)
"Negative CO2 emissions from flexible biofuel synthesis: Concepts, potentials, technologies",2022,5339637,http://dx.doi.org/10.1016/j.rser.2022.112120,Yes (1)
"Launching the Mission for 100 Climate Neutral Cities in Europe: Characteristics, Critiques, and Challenges",2022,5339638,http://dx.doi.org/10.3389/frsc.2021.817804,Unrated (0)
"Correction to Lancet Planet Health 2022; 6: e4–6 (The Lancet Planetary Health (2022) 6(1) (e4–e6), (S254251962100276X), (10.1016/S2542-5196(21)00276-X))",2022,5339639,http://dx.doi.org/10.1016/S2542-5196(22)00007-9,Mixed (3)
Public Perceptions on the Procedural Values and Proposed Outcomes of the Finnish Climate Change Act Amendment,2022,5339640,http://dx.doi.org/10.3389/fclim.2021.657241,Yes (1)
What energy infrastructure will be needed by 2050 in the EU to support 1.5°C scenarios?,2022,5339641,http://dx.doi.org/10.12688/f1000research.109399.1,Yes (1)
Germany’s Planned Public Investment Push: Fiscal Dilemmas and Missing Dimensions*,2022,5339642,,Yes (1)
Kreislaufeffektive Bauwende – Auf dem Weg zu einer neuen Tektonik,2022,5339643,http://dx.doi.org/10.1002/bate.202100111,Unrated (0)
New generation flexible printed photovoltaic,2022,5339644,http://dx.doi.org/10.1016/B978-0-12-823147-0.00013-6,Yes (1)
Climate-neutral waste management in The Russian Federation: New approach to sludge treatment on drying beds under climate change,2022,5339645,http://dx.doi.org/10.24425/jwld.2022.140378,Mixed (3)
Palm oil biomass global supply chain: Environmental emissions vs. technology development of maritime transportation,2022,5339646,http://dx.doi.org/10.1016/j.procir.2022.02.135,Yes (1)
MATLAB/Simulink simulation of low-pressure PEM electrolyzer stack,2022,5339647,http://dx.doi.org/10.1016/j.ijhydene.2022.03.092,Yes (1)
FROM FOSSIL FUEL SOCIETY TO LOW-CARBON SOCIETY: SMART CITIES AS A FACILITATING STRATEGY,2022,5339648,http://dx.doi.org/10.3989/arbor.2022.803-804003,Yes (1)
Climate Change and Consumer Behavior,2022,5339649,http://dx.doi.org/10.1007/978-3-030-87564-0_17,Unrated (0)
"Primeval Forests, Natural and Managed Forests in the Context of Biodiversity and Climate Protection – Part 2: The narrative of the climate neutrality of wood as a resource",2022,5339650,http://dx.doi.org/10.1399/NuL.2022.01.02,Yes (1)
"Emerging Technologies, Societal Trends, and the Aerospace Industry",2022,5339651,http://dx.doi.org/10.2514/6.2022-0398,Mixed (3)
Looking for sustainable development: Socially responsible mutual funds and the low-carbon economy,2021,4292991,http://dx.doi.org/10.1002/bse.2713,Yes (1)
Circular economy: national and global policy-overview,2021,4293295,http://dx.doi.org/10.1007/s10098-020-01988-8,Yes (1)
The analysis of similarities between the European Union countries in terms of the level and structure of the emissions of selected gases and air pollutants into the atmosphere,2021,4305399,http://dx.doi.org/10.1016/j.jclepro.2020.123641,Yes (1)
The making of green steel in the EU: a policy evaluation for the early commercialization phase,2021,4380509,http://dx.doi.org/10.1080/14693062.2020.1803040,Yes (1)
Environmental sustainability of medical imaging,2021,4384795,http://dx.doi.org/10.1080/00015385.2020.1815985,Unrated (0)
Novel Use of Green Hydrogen Fuel Cell-Based Combined Heat and Power Systems to Reduce Primary Energy Intake and Greenhouse Emissions in the Building Sector,2021,4492345,http://dx.doi.org/10.3390/su13041776,Yes (1)
Demystifying market clearing and price setting effects in low-carbon energy systems,2021,4685174,http://dx.doi.org/10.1016/j.eneco.2020.105051,Unrated (0)
Which countries are prepared to green their coal-based steel industry with electricity? - Reviewing climate and energy policy as well as the implementation of renewable electricity,2021,4685398,http://dx.doi.org/10.1016/j.rser.2021.110938,Yes (1)
Climate neutral livestock production - A radiative forcing -based climate footprint approach,2021,4685406,http://dx.doi.org/10.1016/j.jclepro.2020.125260,Yes (1)
The role of the European small ruminant dairy sector in stabilising global temperatures: lessons from GWP* warming-equivalent emission metrics,2021,4685509,http://dx.doi.org/10.1017/S0022029921000157,Yes (1)
Digging deeper into cutting methane emissions from the oil and gas industry in the era of volatile prices,2021,4685512,http://dx.doi.org/10.1007/s11027-021-09948-3,Yes (1)
Economic Analysis of Measures for GHG Emission Reduction,2021,4685528,http://dx.doi.org/10.3390/su13041712,Yes (1)
Agroforestry to Achieve Global Climate Adaptation and Mitigation Targets: Are South Asian Countries Sufficiently Prepared?,2021,4685600,http://dx.doi.org/10.3390/f12030303,Yes (1)
Diets within Environmental Limits: The Climate Impact of Current and Recommended Australian Diets,2021,4685621,http://dx.doi.org/10.3390/nu13041122,Yes (1)
Toward Climate-Neutral Heavy Industry: An Analysis of Industry Transition Roadmaps,2021,4710870,http://dx.doi.org/10.3390/app11125375,Yes (1)
Recent advances and challenges of inter-disciplinary biomass valorization by integrating hydrothermal and biological techniques,2021,4711148,http://dx.doi.org/10.1016/j.rser.2020.110370,Yes (1)
"Potential Deployment of Reversible Solid-Oxide Cell Systems to Valorise Organic Waste, Balance the Power Grid and Produce Renewable Methane: A Case Study in the Southern Italian Peninsula",2021,4751821,http://dx.doi.org/10.3389/fenrg.2021.618229,Yes (1)
The role of soils in regulation and provision of blue and green water,2021,4753646,http://dx.doi.org/10.1098/rstb.2020.0175,Unrated (0)
"Emissions Measurements from Household Solid Fuel Use in Haryana, India: Implications for Climate and Health Co-benefits",2021,4777110,http://dx.doi.org/10.1021/acs.est.0c05143,Yes (1)
A multiperiod approach for waste heat and renewable energy integration of industrial sites,2021,4777306,http://dx.doi.org/10.1016/j.rser.2021.111232,Yes (1)
"Application of Multi-Criteria Decision-Making Tools for Assessing Biogas Plants: A Case Study in Reykjavik, Iceland",2021,4783370,http://dx.doi.org/10.3390/w13162150,Yes (1)
Kinetic Parameters of Nut Shells Pyrolysis,2021,4791430,http://dx.doi.org/10.3390/en14030682,Yes (1)
High Efficiency of the Removal Process of Pb(II) and Cu(II) Ions with the Use of Fly Ash from Incineration of Sunflower and Wood Waste Using the CFBC Technology,2021,4806699,http://dx.doi.org/10.3390/en14061771,Unrated (0)
EMPLOYMENT EFFECTS OF DIFFERENT MUNICIPAL WASTE TREATMENT SYSTEMS BASED ON DATA FROM AUSTRIA,2021,4812636,http://dx.doi.org/10.31025/2611-4135/2021.15090,Mixed (3)
Impact of minerals policy on sustainable development of mining sector - a comparative assessment of selected EU countries,2021,4816945,http://dx.doi.org/10.1007/s13563-021-00248-5,Unrated (0)
A New Perspective for Climate Change Mitigation-Introducing Carbon-Negative Hydrogen Production from Biomass with Carbon Capture and Storage (HyBECCS),2021,4824064,http://dx.doi.org/10.3390/su13074026,Yes (1)
Sustainable Development Model of Performance of Woodworking Enterprises in the Czech Republic,2021,4829012,http://dx.doi.org/10.3390/f12060672,Yes (1)
"THE INFLUENCE OF MICROBIAL INOCULANTS ON MICRO- AND MACRONUTRIENTS ON CALCARIC ALLUVIAL SOIL, BUZAU, ROMANIA",2021,4829805,,Yes (1)
Sewage Sludge Treatment by Hydrothermal Carbonization: Feasibility Study for Sustainable Nutrient Recovery and Fuel Production,2021,4830516,http://dx.doi.org/10.3390/en14092697,Yes (1)
A System Integration Analysis of a Molten Carbonate Electrolysis Cell as an Off-Gas Recovery System in a Steam-Reforming Process of an Oil Refinery,2021,4839880,http://dx.doi.org/10.3389/fenrg.2021.655915,Yes (1)
